Mapping ID,Mapping String,Mapping Menu Name,Existing codes (Mapped),,,,,,,,,,,,,,,Add,,Delete,,,,,,,,,
1619,ACT,ACCOUNTS,"Business, Investing and Management >","Business, Investing and Management > Accounts",,,,,,,,,,,,,,,,,,,,,,,,,
1620,AGR,AGRICULTURE SCIENCE,Reference >,Science & Technology >,Textbooks >,Reference > Agriculture Science,,,,,,,,,,,,,,Reference >,Science & Technology >,Textbooks >,,,,,,,
1621,ANA,ANATOMY HISTOLOGY EMBRYOLOGY OSTEOL,Medical Books >,Medical Books > Anatomy,Medical Books > Histology,Medical Books > Embryyology,Medical Books > Osteology,Women >,Women > Embroidery,Medical Books > Anatomy,,,,,,,,,,Women >,Women > Embroidery,Medical Books > Anatomy,,,,,,,
1622,ANAST,ANASTHESIA,Medical Books >,Medical Books > Anaesthesia,,,,,,,,,,,,,,,,,,,,,,,,,
1623,ANI,ANIMALS WILDLIFE FISH DOG CAT HORSE,Reference >,Reference > Animal Science/Wildlife,Reference >,Reference > Animal Science/Wildlife,Outdoors & Nature > Animal Science/Wildlife,,,,,,,,,,,,,,,,,,,,,,
1625,ART,ARTS DRAWING SKETCHING ARCHAELOGY,Crafts & Hobbies >,Crafts & Hobbies > Art,Children and Teens > Art,"Arts, Photography and Design > Art","Arts, Photography and Design > Drawing","Arts, Photography and Design > Sketching",Children and Teens > Drawing,Children and Teens > Sketching,Crafts & Hobbies > Drawing,Crafts & Hobbies > Sketching,Reference > Archeology,History and Politics > Archeology,History and Politics >,Women >,Women > Sketching,,,Children and Teens > Art,History and Politics >,Women >,Women > Sketching,,,,,,
1628,AYU,AYURVEDA,Medical Books >,Medical Books > Ayurveda,,,,,,,,,,,,,,,,,,,,,,,,,
1629,BEU,BEAUTY CARE PREGNANCY MEHANDI MAKEU,Women >,Health and Fitness > Pregnancy,Health and Fitness > Beauty Care,Women > Beauty Care,Women > Pregnancy,Women > Mehendi/Cosmetics,Reference >,Reference > Mehendi/Cosmetics,,,,,,,,,,Reference >,Reference > Mehendi/Cosmetics,,,,,,,,
1630,BGY,BIOGRAPHY / AUTOBIOGRAPHY,Biographies & Autobiographies >,Biographies & Autobiographies > Biography/Autobiography,,,,,,,,,,,,,,,,,,,,,,,,,
1631,BICHE,BIOCHEMISTRY,Medical Books >,Medical Books > Bio Chemistry,Textbooks > Bio Chemistry,,,,,,,,,,,,,,,Medical Books >,,,,,,,,,
1632,BIO,BIOLOGY,Textbooks >,Textbooks > Biology,,,,,,,,,,,,,,,,,,,,,,,,,
1633,BIOT,BIOTECHNOLOGY,Textbooks >,Textbooks > Biotechnology,Science & Technology >,Science & Technology > Biotechnology,,,,,,,,,,,,,,,,,,,,,,,
1756,C,CSR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,CAR,CARS BIKES MILITARY WEAPONS GUNS,Reference > Automobiles,Reference >,Coffee Table > Automobiles (Cars/Bikes),Coffee Table >,,,,,,,,,,,,,,Reference >,,,,,,,,,
1635,CET,COMMON ENTRANCE TEST,"Business, Investing and Management >","Business, Investing and Management > Common Entrance Test",Entrance Exams Preparation > Common Entrance Test,Textbooks > Common Entrance Test,Textbooks >,Entrance Exams Preparation >,Textbooks > Common Entrance Test,,,,,,,,,,,"Business, Investing and Management >","Business, Investing and Management > Common Entrance Test",,,,,,,,
1636,CHE,CHEMISTRY,Textbooks >,Textbooks > Chemistry,,,,,,,,,,,,,,,,,,,,,,,,,
1637,CHI,CHILDREN / KNOWLEDGE,Children and Teens >,Children and Teens > Children,,,,,,,,,,,,,,,,,,,,,,,,,
1638,CHICARE,CHILD CARE / PARENTING,Women >,Women > Child Care Parenting,Reference >,Reference > Child Care Parenting,,,,,,,,,,,,,,Reference >,Reference > Child Care Parenting,,,,,,,,
1639,CHL,CHEMICAL ENGG,Academic and Professional >,Academic and Professional > Chemical Engg,Science & Technology > Chemical Engg,Textbooks >,Textbooks > Chemical Engg,,,,,,,,,,,,,,,,,,,,,,
1640,CIV,CIVIL,Science & Technology > Civil Engg,Textbooks > Civil Engg,Academic and Professional > Civil Engg,Academic and Professional >,Textbooks >,Science & Technology >,,,,,,,,,,,,,,,,,,,,,
1641,CMP,COMPUTER SCIENCE,Academic and Professional >,Academic and Professional > Computer Science,Textbooks > Computr Science,Science & Technology > Computer Science,Computers & Internet > Computr Science,Computers & Internet >,,,,,,,,,,,,,,,,,,,,,
1643,COMIC,COMICS,Children and Teens > Comics,Children and Teens >,,,,,,,,,,,,,,Comics >,,,,,,,,,,,
1644,COOK,COOKERY / BAKING / WINE / ICE CREAM,"Cooking, Food & Wine >",Women > Cookery,Computers & Internet >,"Cooking, Food & Wine > Cookery",,,,,,,,,,,,,,Computers & Internet >,,,,,,,,,
1645,CSR,COMPETATIVE EXAMS,Academic and Professional > Competitive Exams,Academic and Professional >,Entrance Exams Preparation > Competitive Exams,Entrance Exams Preparation >,"Business, Investing and Management >","Business, Investing and Management > Competitive Exams",,,,,,,,,,,,,,,,,,,,,
1744,DC,CSR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745,DE,ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,DEN,DENTAL,Medical Books >,Medical Books > Dental,,,,,,,,,,,,,,,,,,,,,,,,,
1746,DG,GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,DH,HUMANITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,DIC,DIC / THESAURUS,Literature & Fiction >,Literature & Fiction > Dictionary /Thesaurus,Reference >,Reference > Dictionary /Thesaurus,Textbooks >,Textbooks > Dictionary /Thesaurus,Children and Teens >,Children and Teens > Dictionary /Thesaurus,,,,,,,,,,Literature & Fiction >,Literature & Fiction > Dictionary /Thesaurus,Reference >,Reference > Dictionary /Thesaurus,,,,,,
1648,DIR,DIRECTORY,Reference >,Reference > Directories,,,,,,,,,,,,,,,,,,,,,,,,,
1748,DM,MEDICAL SCIENCES,Textbooks >,Medical Books >,,,,,,,,,,,,,,,,,,,,,,,,,
1750,DN,NOVELS,Literature & Fiction >,Literature & Fiction > Fiction,,,,,,,,,,,,,,,,Literature & Fiction > Fiction,,,,,,,,,
1751,DP,PCMB,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,DS,SCHOOL,Children and Teens >,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,E,ENGINEERING,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,,,,
