KA 05 B 5534,AL Bus ,Madhura,83
KA 05 B 5536,AL Bus ,Madhura,
KA 05 B 5539,AL Bus ,Madhura,82
KA 05 B 5542,AL Bus ,Madhura,
KA 05 B 5707,AL Bus ,Madhura,84
KA 05 B 5708,AL Bus ,Honda,
KA 05 B 5915,AL Bus ,Madhura,80
KA 05 B 5918,AL Bus ,Honda,
KA 05 C 7525,Qualis,Garage,
KA 05 AA 8651,Mazda,MSSl,74
KA 05 AA 8652,Mazda,MSSL,75
KA 05 AA 8967,Mazda,MSSl,59
KA 42 2884,AL Bus ,MSSL,53
KA 42 2885,AL Bus ,Honda,
KA 42 2886,AL Bus ,Honda,
KA 42 2887,AL Bus ,MSSL,66
KA 42 3122,AL Bus ,MSSL,
KA 05 AB 550,Mazda,Strides,
KA 01 C 9247,Ambulance,SKF,
KA 42 3718,Star Bus,MSSL,55
KA 05 AB 2761,Mazda,Aosmith,
KA 05 AB 2762,Mazda,MSSl,
KA 05 AB 3653,Mazda,HDC,
KA 05 AB 3654,Mazda,HDC,
KA 05 AB 3655,Mazda,HDC,
KA 05 AB 3656,Mazda,HDC,
KA 05 AB 3657,Mazda,HDC,
KA 05 AB 3658,Mazda,HDC,
KA 05 AB 3659,Mazda,HDC,
KA 05 AB 3660,Mazda,HDC,
KA 05 AB 4677,AL Bus ,Honda,
KA 05 AB 4679,AL Bus ,Honda,
KA 42 4648,Star Bus,MSSl,58
KA 42 4649,Star Bus,Strides,
KA 05 AB 6357,T T,Rapsri,
KA 05 AB 6358,T T,SKF,
KA 05 AB 6359,T T,Strides,
KA 05 AB 6376,Mazda,MSSl,77
KA 52 4458,Tata Bus,Honda,
KA 52 4459,Tata Bus,MSSL,87
KA 52 4460,Tata Bus,Honda,
KA 05 AB 8674,T T,SKF,
KA 05 AB 9865,Sumo,MSSl,79
KA 52 4971,T T,SKF,
KA 52 4972,T T,SKF,
KA 52 4973,T T,SKF,
KA 52 4974,T T,SKF,
KA 52 4975,T T,MSSl,78
KA 52 4990,Eicher,TKM,148
KA 52 4991,Eicher,TKM,150
KA 52 4992,Eicher,TKM,46
KA 52 4993,Eicher,TKM,35
KA 52 4994,Eicher,TKM,154
KA 52 5002,Eicher,TKM,155
KA 52 5003,Eicher,TKM,114
KA 52 5024,Eicher,TKM,157
KA 52 5025,Eicher,TKM,119
KA 52 5026,Eicher,TKM,156
KA 42 5854,Mazda,TKM,47
KA 42 5856,Mazda,TKM,48
KA 42 5857,Eicher,TKM,36
KA 42 5858,Eicher,TKM,143
KA 42 5859,Eicher,TKM,149
KA 42 5860,Eicher,TKM,39
KA 42 5861,Eicher,TKM,130
KA 42 5881,Mazda,TKM,29
KA 42 5882,Mazda,TKM,33
KA 42 5986,AL Bus ,TKM,129
KA 42 5987,AL Bus ,TKM,128
KA 42 5988,AL Bus ,TKM,40
KA 42 5998,Eicher Goods,TKM,
KA 42 6182,Eicher Goods,TKM,
KA 42 6136,Mazda,TKM,41
KA 42 6137,Mazda,TKM,116
KA 42 6138,Mazda,TKM,137
KA 42 6139,Mazda,TKM,27
KA 42 6140,Mazda,TKM,45
KA 42 6141,Mazda,TKM,131
KA 42 6142,Mazda,TKM,38
KA 42 6143,Mazda,TKM,28
KA 42 6181,Eicher Goods,TKM,
KA 42 6188,Eicher Goods,TKM,
KA 05 AC 2832,AL Bus ,TKM,31
KA 05 AC 2833,AL Bus ,TKM,21
KA 05 AC 2834,AL Bus ,TKM,138
KA 52 5371,AL Bus ,HDC,
KA 52 5372,AL Bus ,HDC,
KA 52 5373,AL Bus ,HDC,
KA 52 5374,AL Bus ,HDC,
KA 05 AC 3615,AL Bus ,TKM,24
KA 05 AC 3616,AL Bus ,TKM,34
KA 05 AC 3617,AL Bus ,TKM,44
KA 05 AC 3683,AL Bus ,TKM,126
KA 05 AC 3915,AL Bus ,TKM,42
KA 05 AC 3916,AL Bus ,TKM,139
KA 05 AC 3917,AL Bus ,TKM,142
KA 05 AC 3918,AL Bus ,TKM,136
KA 05 AC 3919,AL Bus ,TKM,151
KA 05 AC 3920,AL Bus ,TKM,120
KA 05 AC 3921,AL Bus ,TKM,117
KA 05 AC 3922,AL Bus ,TKM,146
KA 05 AC 3923,AL Bus ,TKM,152
KA 05 AC 3924,AL Bus ,TKM,158
KA 05 AC 3925,AL Bus ,TKM,141
KA 05 AC 3926,AL Bus ,TKM,37
