PO 220,KA 01C 2742,TATA BUS,NPS-KOR
PO 221,KA01C 5360,SWARAZ MAZDA,NPS-KOR
PO 222,KA 01 AB 5354,SWARAZ MAZDA,NPS-KOR
PO 223,KA01 AB 3975,TATA STAR BUS-712,NPS-KOR
PO 224,KA51B 3493,SWARAZ MAZDA,NPS-KOR
PO 225,KA 51 A 5326,SWARAZ MAZDA,NPS-KOR
PO 226,KA51 3980,TEMPO TRAVELLER ,NPS-KOR
PO 227,KA 01 C 5357,SWARAZ MAZDA,NPS-KOR
PO 228,KA 01AB 3976,TATA STAR BUS-712,NPS-KOR
PO 229,KA 01 C 5356,SWARAZ MAZDA,NPS-KOR
PO 230,KA 01 C 5362,SWARAZ MAZDA,NPS-KOR
PO 231,KA 43 1312,TATA BUS,NPS-KOR
PO 232,KA 01D 931,SWARAZ MAZDA,NPS-KOR
PO 233,KA 43 1311,TATA BUS,NPS-KOR
PO 234,KA 01 AA 1074,SWARAZ MAZDA,NPS-KOR
PO 235,KA 51 B 3984,TEMPO TRAVELLER ,NPS-KOR
PO 236,KA 51 B 4336,TEMPO TRAVELLER ,NPS-KOR
PO 237,KA51 B 5933,TEMPO TRAVELLER ,NPS-KOR
PO 254,KA20 9504,ASHOK LEYLAND,NPS-KOR
PO 257,KA 51 A 5784,SWARAZ MAZDA,NPS-KOR
PO 218,KA01 B 9125,SWARAZ MAZDA,NPS-IND
PO 251,KA01 AB 3973,TATA STAR BUS-712,NPS-IND
PO 252,KA 01C 5365,SWARAZ MAZDA,NPS-IND
PO 253,KA 01 D 2435,SWARAZ MAZDA,NPS-IND
PO 255,KA 01B 9124,SWARAZ MAZDA,NPS-IND
PO 258,KA01B 9130,SWARAZ MAZDA,NPS-IND
PO 212,KA 51 B 3951,SWARAZ MAZDA,NPS-YLK
PO 214,KA 51B 9058,TEMPO TRAVELLER,NPS-YLK
PO 215,KA51 B 3981,TEMPO TRAVELLER,NPS-YLK
PO 216,KA51 B 4337,TEMPO TRAVELLER,NPS-YLK
PO 217,KA 51 B 8208,TEMPO TRAVELLER,NPS-YLK
PO 272,KA51 B 4344,TEMPO TRAVELLER,NPS-YLK
PO 285,KA51 B 8166,SWARAZ MAZDA,NPS-YLK
PO 287,KA51 B 8167,SWARAZ MAZDA,NPS-YLK
PO 291,KA51 B 3952,SWARAZ MAZDA,NPS-YLK
PO 201,KA 01AA 848,SWARAZ MAZDA,NAFL
PO 202,KA 51  B 5931,TEMPO TRAVELLER,NAFL
PO 204,KA 01AA 1075,SWARAZ MAZDA,NAFL
PO 205,KA51A 5785,SWARAZ MAZDA,NAFL
PO 206,KA01B 9131,SWARAZ MAZDA,NAFL
PO 207,KA01D 934,SWARAZ MAZDA,NAFL
PO 209,KA 01AA 3188,SWARAZ MAZDA,NAFL
PO 211,KA01C 5364,SWARAZ MAZDA,NAFL
PO 203,KA 04 D 6189,SWARAZ MAZDA,NPS- YPR
PO 210,KA04 D 6193,SWARAZ MAZDA,NPS- YPR
PO 273,KA 51 9613,SWARAZ MAZDA,NPS- YPR
PO 274,KA 51 B 4339,TEMPO TRAVELLER,NPS- YPR
PO 275,KA 51 B 8210,TEMPO TRAVELLER,NPS- YPR
PO 276,KA 51 B 8165,SWARAZ MAZDA,NPS- YPR
PO 277,KA 04 D 6195,SWARAZ MAZDA,NPS- YPR
PO 278,KA 04D 6185,SWARAZ MAZDA,NPS- YPR
PO 279,KA 51 B 8164,SWARAZ MAZDA,NPS- YPR
PO 280,KA51 B 4341,TEMPO TRAVELLER,NPS- YPR
PO 281,KA 43 1314,TATA BUS,NPS- YPR
PO 282,KA 04 D 6199,SWARAZ MAZDA,NPS- YPR
PO 283,KA 04D 6187,SWARAZ MAZDA,NPS- YPR
PO 284,KA 51 B 8162,SWARAZ MAZDA,NPS- YPR
PO 286,KA 04 D 6184,SWARAZ MAZDA,NPS- YPR
PO 288,KA 04 6190,SWARAZ MAZDA,NPS- YPR
PO 289,KA 51 B 8160,SWARAZ MAZDA,NPS- YPR
PO 292,KA04 D 6179,SWARAZ MAZDA,NPS- YPR
PO 293,KA 04 D 6192,SWARAZ MAZDA,NPS- YPR
PO 294,KA51 B 8212,TEMPO TRAVELLER,NPS- YPR
PO 295,KA 01 D 5444,TATA MINI BUS,NPS- YPR
PO 296,KA 51 B 8161,SWARAZ MAZDA,NPS- YPR
PO 297,KA51 B 4335,TEMPO TRAVELLER,NPS- YPR
PO 299,KA 51 B 8211,TEMPO TRAVELLER,NPS- YPR
PO 300,KA 51 B 8209,TEMPO TRAVELLER,NPS- YPR
PO 261,KA 51 B 8188,TEMPO TRAVELLER,CRY-YLK
PO 262,KA 51 B 8152,SWARAZ MAZDA,CRY-YLK
PO 263,KA 51 B 3485,SWARAZ MAZDA,CRY-YLK
PO 264,KA 51 B 8187,TEMPO TRAVELLER,CRY-YLK
PO 265,KA 51 B 9057,TEMPO TRAVELLER,CRY-YLK
PO 266,KA 01 B 4128,SWARAZ MAZDA,CRY-YLK
PO 267,KA 51 B 4338,TEMPO TRAVELLER,CRY-YLK
PO 268,KA 51 B 8151,SWARAZ MAZDA,CRY-YLK
PO 219,KA 51 A 5328,SWARAJ MAZDA,GOPALAN SCHOOL
PO 238,KA 51 A 6169,SWARAJ MAZDA,GOPALAN SCHOOL
PO 239,KA 51 B 8345,SWARAJ MAZDA,GOPALAN SCHOOL
PO 241,KA 04 D 6182,SWARAJ MAZDA,GOPALAN SCHOOL
PO 242,KA 51 B 8348,SWARAJ MAZDA,GOPALAN SCHOOL
PO 243,KA 04 D 6178,SWARAJ MAZDA,GOPALAN SCHOOL
PO 244,KA 51 B 8347,SWARAJ MAZDA,GOPALAN SCHOOL
PO 245,KA 04 D 6181,SWARAJ MAZDA,GOPALAN SCHOOL
PO 246,KA 01 AA 272,SWARAJ MAZDA,GOPALAN SCHOOL
PO 247,KA 04 D 6198,SWARAJ MAZDA,GOPALAN SCHOOL
PO 248,KA 01 AA 847,SWARAJ MAZDA,GOPALAN SCHOOL
PO 249,KA 51 A 5327,SWARAJ MAZDA,GOPALAN SCHOOL
PO 250,KA 51 A 6160,SWARAJ MAZDA,GOPALAN SCHOOL
PO 256,KA 51 A 5816,SWARAJ MAZDA,GOPALAN SCHOOL
PO 737,KA 51 A 6155,SWARAJ MAZDA,GOPALAN SCHOOL
PO 742,KA 01 AA 274,SWARAJ MAZDA,GOPALAN SCHOOL
PO 743,KA 01 AB 3972,MARCO POLO,GOPALAN SCHOOL
PO 744,KA 01 AA 276,SWARAJ MAZDA,GOPALAN SCHOOL
PO 745,KA 01 C 5363,SWARAJ MAZDA,GOPALAN SCHOOL
PO 746,KA 51 A 5783,SWARAJ MAZDA,GOPALAN SCHOOL
PO 747,KA 01 AB 3974,MARCO POLO,GOPALAN SCHOOL
PO 748,KA 01 AA 275,SWARAJ MAZDA,GOPALAN SCHOOL
PO 749,KA 04 D 6196,SWARAJ MAZDA,GOPALAN SCHOOL
PO 750,KA 04 C 5361,SWARAJ MAZDA,GOPALAN SCHOOL
PO 718,KA 51 B 8153,SWARAZ MAZDA,CRY-VAT
PO 719,KA 51 B 3482,SWARAZ MAZDA,CRY-VAT
PO 720,KA 51 B  8191,TEMPO TRAVELLER,CRY-VAT
PO 721,KA 51 B 3950,SWARAZ MAZDA,CRY-VAT
PO 722,KA 51 B  3477,SWARAZ MAZDA,CRY-VAT
PO 724,KA 51 B 3484,SWARAZ MAZDA,CRY-VAT
PO 725,KA 51 B 9581,J.C.B.L,CRY-VAT
PO 726,KA 51 B 3483,SWARAZ MAZDA,CRY-VAT
PO 727,KA 51 B 8192,TEMPO TRAVELLER,CRY-VAT
PO 728,KA 51 B 3478,SWARAZ MAZDA,CRY-VAT
PO 730,KA 51 B 3489,SWARAZ MAZDA,CRY-VAT
PO 731,KA 51 B 3480,SWARAZ MAZDA,CRY-VAT
PO 732,KA 51 B 8150,SWARAZ MAZDA,CRY-VAT
PO 733,KA 51 B 3476,SWARAZ MAZDA,CRY-VAT
PO 734,KA 51 B 3473,SWARAZ MAZDA,CRY-VAT
PO 735,KA 51 B 3474,SWARAZ MAZDA,CRY-VAT
PO 736,KA 51 B 3486,SWARAZ MAZDA,CRY-VAT
PO 738,KA 51 B 3481,SWARAZ MAZDA,CRY-VAT
PO 739,KA 51 B 3479,SWARAZ MAZDA,CRY-VAT
PO 740,KA 51 B 3017,SWARAZ MAZDA,CRY-VAT
PO 741,KA 51 B 3472,SWARAZ MAZDA,CRY-VAT
PO 701,KA-51-A-7173,MINI BUS,TISB
PO 703,KA-51-A-7927,MINI BUS,TISB
PO 704,KA-51-A-9361,MINI BUS,TISB
PO 705,KA-51-A-7353,BIG BUS,TISB
PO 706,KA-51-A-7354,MINI BUS,TISB
PO 707,KA-51-A-6157,BIG BUS,TISB
PO 708,KA-51-A-6170,BIG BUS,TISB
PO 709,KA-51-A-6172,BIG BUS,TISB
PO 710,KA-51-A-6163,BIG BUS,TISB
PO 711,KA-51-A-6168,BIG BUS,TISB
PO 713,KA-51-A-6154,BIG BUS,TISB
PO 714,KA-51-A 9362,MINI BUS,TISB
PO 716,KA-51-A-6164,BIG BUS,TISB
